epoch,train_huber_loss,validation_scaled_mae
1,0.39414384961128235,0.8137412071228027
2,0.386970579624176,0.8055474162101746
3,0.3797666132450104,0.8004199266433716
4,0.3733537793159485,0.7979876399040222
5,0.3674660325050354,0.7968358397483826
6,0.36208468675613403,0.7960383296012878
7,0.35936233401298523,0.7959578633308411
8,0.35452011227607727,0.7965214252471924
9,0.349719762802124,0.7975170612335205
10,0.34713637828826904,0.7980697751045227
11,0.34180760383605957,0.7990566492080688
12,0.3415839374065399,0.8006733655929565
13,0.33966439962387085,0.8032810688018799
14,0.339112251996994,0.8067237734794617
15,0.3384403884410858,0.8103469610214233
16,0.3380064368247986,0.8129948377609253
17,0.3420455753803253,0.8143206834793091
18,0.33957964181900024,0.8149307370185852
19,0.3403795063495636,0.8156356811523438
20,0.33615100383758545,0.8167973756790161
21,0.3393959701061249,0.8177881836891174
22,0.3343718349933624,0.8187360167503357
23,0.3343096971511841,0.8190327286720276
24,0.3344224691390991,0.8190220594406128
25,0.3344835937023163,0.8183761835098267
26,0.3338966369628906,0.8173288702964783
27,0.3331092596054077,0.8160157203674316
28,0.33331993222236633,0.8142856955528259
29,0.3329354524612427,0.8128023147583008
30,0.33149030804634094,0.8114912509918213
31,0.3310717046260834,0.810394287109375
32,0.33036425709724426,0.8095532655715942
33,0.3323235809803009,0.8083038926124573
34,0.32928627729415894,0.8065974116325378
35,0.32921844720840454,0.8044943809509277
36,0.32744094729423523,0.8018203973770142
37,0.32903990149497986,0.7981955409049988
38,0.32843393087387085,0.7949050664901733
39,0.3255496323108673,0.7922585606575012
40,0.3278871178627014,0.7905769348144531
41,0.3268715739250183,0.7890833616256714
42,0.3275359272956848,0.7867044806480408
43,0.3266282081604004,0.7835450172424316
44,0.32437101006507874,0.780059814453125
45,0.3248113989830017,0.7771737575531006
46,0.3223685026168823,0.7749916911125183
47,0.3223029673099518,0.7735782861709595
48,0.3211955726146698,0.7720180153846741
49,0.3222726881504059,0.7705392837524414
50,0.31994450092315674,0.7690248489379883
51,0.32189080119132996,0.7672542333602905
